Laboratory,Field,Latitude,Longitude,Date collected,Land use,Hg,Al,Ca,Fe,K,Mg,Na,S,Ti,Ag,As,Ba,Be,Bi,Cd,Ce,Co,Cr,Cs,Cu,Ga,In,La,Li,Mn,Mo,Nb,Ni,P,Pb,Rb,Sb,Sc,Sn,Sr,Te,Th,Tl,U,V,W,Y,Zn,Se
number,number,,,,,mg/kg,%,%,%,%,%,%,%,%,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg
C-289935,06co073,40.68216,-103.40681,16-Mar-06,grassland,<0.02,5.71,0.78,1.14,2.68,0.31,1.45,0.02,0.16,<1,3,809,1.7,0.11,0.2,73.5,3.5,18,<5,6.9,12.5,0.02,39.1,12,257,0.46,8.2,6.5,400,22.5,90.3,0.33,4.1,1,183,<0.1,15.4,0.7,2.6,33,0.6,15.9,34,<0.2
C-285020,06co074,40.68468,-103.161,16-Mar-06,farm,0.03,5.04,1.9,2.1,2.26,1.39,1.24,0.73,0.17,<1,5,545,1.7,0.22,0.3,51.8,7.1,33,6,20.8,12.4,0.04,27.3,35,490,1.2,10,16.2,"1,120",27,89.3,0.89,6.7,1.7,305,<0.1,10.1,0.6,6.5,64,1,15,83,0.5
C-284732,06co075,40.68531,-103.03762,16-Mar-06,ranch,<0.02,4.34,0.54,0.46,2.92,0.09,1.38,<0.01,0.05,<1,2,790,1.3,0.05,<0.1,27.6,1.2,7,<5,3,9.51,<0.02,17.5,6,125,0.24,3.5,2.6,220,18.6,104,0.17,1.6,0.4,159,<0.1,4.2,0.6,0.9,10,0.3,6.8,12,<0.2
C-285187,06co076,40.67904,-102.91498,16-Mar-06,farm,<0.02,4.65,0.79,0.93,2.58,0.23,1.22,0.02,0.12,<1,2,729,1.4,0.09,0.1,59.1,2.7,14,<5,5.5,10.7,<0.02,32.1,9,244,0.35,8,5,450,25.7,104,0.23,3.2,0.9,172,<0.1,10.9,0.6,1.8,27,0.9,11.2,35,<0.2
C-290158,06co077,40.63869,-108.51252,7-Sep-06,pasture,<0.02,3.79,3.01,0.8,2.08,0.35,1.01,0.02,0.1,<1,2,825,1.1,0.08,0.1,32.9,2.6,22,<5,7.1,8.3,<0.02,18.9,13,217,0.35,5.8,7.5,310,13.1,73.3,0.28,2.7,0.7,216,<0.1,5.1,0.4,1.3,27,0.4,9.6,26,<0.2
C-292421,06co078,40.64014,-107.52524,30-Jul-06,BLM,0.02,6.01,0.8,2.47,2.36,0.31,1.09,0.02,0.25,<1,5,943,1.8,0.12,0.2,129,6.5,21,<5,9.2,14.5,0.04,73.2,14,359,0.82,19.2,8.6,580,21.2,95.4,0.46,6.1,1.3,415,<0.1,19.1,0.5,3.8,66,0.8,19.2,58,0.3
C-292397,06co079,40.64077,-107.31791,30-Jul-06,pasture,<0.02,4.6,0.33,1.33,2.71,0.28,0.67,0.03,0.19,<1,4,860,1.3,0.11,0.3,57.9,5.7,19,<5,11.5,9.12,0.02,29.2,15,573,0.71,7.5,7.4,550,19.3,109,0.55,4.2,1.2,117,<0.1,9.3,0.6,2.3,38,0.7,15.5,174,0.3
C-284985,06co080,40.64632,-106.54212,2-Aug-06,BLM,<0.02,5.89,0.63,2.28,2.71,0.34,1.46,0.02,0.17,<1,7,641,2.6,0.2,0.3,60.5,6.4,26,<5,21,15.5,0.04,33.1,20,482,1.75,16.8,14,520,26.3,148,0.47,5.8,2.5,112,<0.1,15.9,1,4.3,51,1.5,18.9,56,0.2
C-284835,06co081,40.67118,-105.85501,10-Jun-06,national forest,<0.02,6.97,1.05,2.26,2.49,0.52,2.14,0.02,0.2,<1,3,741,1.7,0.07,0.1,48.4,7.4,34,<5,7.7,15.2,0.04,24.2,21,386,0.78,8.9,13.6,640,20.8,117,0.19,7.1,1.9,227,<0.1,9.6,0.7,3.2,46,0.5,8.6,63,<0.2
C-284695,06co082,40.64944,-105.69883,10-Jun-06,national forest,0.02,5.31,0.48,1.18,2.9,0.25,1.86,0.03,0.07,<1,3,512,1.3,0.14,0.2,24.7,3.7,17,<5,7,11.9,0.03,12.6,10,487,0.49,5.9,7.9,460,21.9,104,0.22,4,1.6,86.7,<0.1,6.9,0.5,2.7,25,0.6,8.5,38,<0.2
C-284689,06co083,40.65161,-105.37204,10-Jun-06,recreation,<0.02,6.63,0.75,3.58,2.78,0.72,1.33,0.02,0.28,<1,2,624,1.7,0.14,<0.1,94.3,11.1,70,5,16.2,16.6,0.06,43.2,36,374,0.58,10.5,26.5,480,22.4,126,0.19,13.6,2.3,129,<0.1,15.3,0.7,3.4,77,2.4,14.2,80,<0.2
C-284875,06co084,40.66826,-105.22602,10-Jun-06,trust land,<0.02,6.39,1.04,4.11,2.22,0.89,1.34,0.03,0.33,<1,1,508,1.2,0.1,0.3,84.3,11.6,90,<5,18.9,14.3,0.06,41,23,478,0.55,11.6,35.4,670,38,111,0.17,15.8,2.7,126,<0.1,13.4,0.6,2.9,77,0.7,19.2,110,0.3
C-284829,06co085,40.65648,-104.73486,9-Jun-06,idle,<0.02,4.4,0.49,1.2,2.36,0.26,0.94,0.02,0.11,<1,3,694,1.2,0.09,0.2,43.9,3.6,19,<5,6.2,10.1,0.02,23.5,11,224,0.59,5.3,7.3,330,17.3,83,0.59,3.5,0.8,108,<0.1,6.4,0.5,1.5,33,0.6,10.3,32,0.6
C-289970,06co086,40.65392,-104.48675,9-Jun-06,pasture,<0.02,4.67,0.6,1.33,1.95,0.22,1.08,0.02,0.18,<1,5,774,1.4,0.2,0.2,64.5,3.9,24,<5,9.7,10.4,<0.02,35.5,10,334,0.58,8.1,8.8,320,23.5,91.1,0.55,3.9,0.9,130,<0.1,11,0.6,2.1,41,0.6,13,32,<0.2
C-292384,06co087,40.65258,-104.41109,9-Jun-06,pasture,<0.02,4.74,0.59,1.49,2.28,0.29,0.87,0.03,0.17,<1,4,692,1.4,0.11,0.3,49.6,4.4,20,<5,8.3,9.98,0.03,27.1,13,317,0.85,7.8,8.3,430,19,89.3,0.5,4.2,1.1,134,<0.1,7.6,0.4,1.8,44,0.8,13.4,41,0.3
C-292306,06co088,40.6396,-103.89687,16-Mar-06,national grassland,<0.02,4.82,0.84,1.4,2.54,0.43,1.29,0.03,0.17,<1,3,750,1.6,0.19,0.3,57.9,5.2,21,<5,10.9,11.7,<0.02,30.8,16,441,0.87,9.1,8.1,510,28.3,91.3,0.49,4.9,1.8,188,<0.1,8.6,0.6,2.1,40,0.8,16,45,0.2
C-290034,06co089,40.62885,-102.47438,17-Mar-06,farm,<0.02,6.11,0.86,1.61,2.4,0.45,1.05,0.03,0.17,<1,4,742,1.7,0.18,0.2,76.8,5.8,23,<5,11.3,12.3,0.03,41.1,19,377,0.68,8.5,10.8,580,22,105,0.44,5.5,1.3,197,<0.1,16.2,0.7,2.5,43,0.6,16.1,47,0.2
C-284807,06co090,40.62942,-102.39803,17-Mar-06,farm,<0.02,5.42,0.79,1.83,2.19,0.49,0.91,0.03,0.21,<1,4,726,1.7,0.2,0.5,69.5,6.8,33,<5,13.4,13.6,0.04,35.5,20,496,1.01,10.2,14,640,21.7,106,0.43,7.2,1.5,186,<0.1,11.8,0.6,2.8,50,0.9,18.7,59,0.2
C-285098,06co091,40.59285,-108.74042,7-Sep-06,BLM,<0.02,2.78,0.66,1.31,1.14,0.29,0.32,0.03,0.1,<1,5,377,0.9,0.23,0.4,38.2,5.3,26,<5,14.9,6.79,0.03,20,17,410,0.6,4.1,10.6,540,16,50.4,0.36,4.3,0.9,98.7,<0.1,6.6,0.2,1.7,30,0.4,9.6,42,<0.2
C-284748,06co092,40.55407,-108.2099,7-Sep-06,wildlife area,<0.02,3.58,1.18,0.95,1.82,0.35,0.84,0.04,0.09,<1,3,694,0.9,0.1,0.2,38.7,3.2,15,<5,8,8.68,<0.02,22,16,320,0.61,5.1,6.2,730,13.8,72.1,0.38,3.6,0.7,218,<0.1,6,0.4,1.5,28,0.6,9.9,36,<0.2
C-285083,06co093,40.61183,-106.98667,30-Jul-06,pasture,<0.02,5.04,0.49,2.27,1.96,0.48,0.72,0.03,0.2,<1,9,675,1.8,0.29,0.6,59.5,10.2,44,6,18.9,12.2,0.04,30.5,24,501,1.46,8.8,18.3,760,23,101,0.84,8.1,1.5,121,<0.1,10.7,0.6,2.8,71,1,16.1,88,0.4
C-292288,06co094,40.61837,-106.4107,1-Aug-06,pasture,<0.02,5.74,1.35,2.74,2.8,0.57,1.66,0.03,0.34,<1,4,976,1.7,0.15,0.5,86.8,10.4,40,<5,19.6,14.6,0.03,43.3,19,683,1.16,15.3,17.3,"1,030",21.7,95.1,0.38,8.1,1.1,317,<0.1,16,0.6,3.7,71,1,18.6,74,0.2
C-290124,06co095,40.65144,-105.65532,10-Jun-06,national forest,0.07,6.08,2.18,2.41,1.91,0.83,1.85,0.05,0.24,<1,3,894,2,0.33,0.5,64.2,8.5,33,<5,14.1,13.1,0.05,32.2,19,706,0.49,6.8,16.2,620,42.5,64.7,0.33,8.2,1.3,527,<0.1,4.9,0.4,1.5,66,0.4,10.7,62,0.2
C-285104,06co096,40.58263,-105.41375,10-Jun-06,recreation,<0.02,5.62,0.86,3.31,2.05,0.62,1.16,0.02,0.25,<1,3,580,2.1,0.33,0.2,63.6,11.6,76,7,18.6,14.2,0.05,31.9,31,658,0.68,10.9,28.9,570,19.1,120,0.18,11.9,2,144,<0.1,10.6,0.6,3.4,67,1.4,12.5,89,0.3
C-292401,06co097,40.60998,-104.99143,9-Jun-06,farm,<0.02,5.32,2.08,1.64,2.52,0.67,1.18,0.03,0.15,<1,5,608,1.7,0.11,0.4,47.9,4.8,27,<5,10.3,11.8,0.03,25.9,22,296,1.03,7,11.6,640,15.8,87.7,0.58,5.3,1.2,163,<0.1,8.9,0.5,2.3,51,0.9,14.5,68,0.4
C-284808,06co098,40.61039,-104.29832,9-Jun-06,idle,<0.02,5.21,0.55,2.03,2.2,0.39,0.73,0.02,0.18,<1,7,709,1.8,0.14,0.2,58.4,5.9,25,<5,9.9,12.9,0.03,31.7,19,294,1.11,7.8,13.1,360,18.4,99,0.56,6.4,1.2,141,<0.1,9.1,0.6,2.3,55,0.8,15.4,52,0.3
C-285105,06co099,40.58675,-102.77895,16-Mar-06,farm,<0.02,5.17,1.05,1.85,2.3,0.48,0.95,0.04,0.19,<1,5,719,1.7,0.2,0.3,68.4,6.2,27,<5,12.7,12.4,0.04,35.6,18,402,0.85,10.1,12.9,590,21.5,94.5,0.5,6.2,1.3,189,<0.1,13.2,0.5,2.5,48,0.8,16.8,56,0.3
C-289952,06co100,40.54916,-108.4261,7-Sep-06,BLM,<0.02,4.02,2.89,1.15,2.08,0.71,0.86,0.02,0.15,<1,3,651,0.9,0.12,0.2,60.6,3.4,15,<5,7.2,7.98,<0.02,33.4,14,281,0.64,4.4,7.5,550,17.1,72.9,0.34,3.4,0.8,173,<0.1,13.8,0.5,2,35,0.5,11.1,30,<0.2
C-284851,06co101,40.56693,-106.88706,30-Jul-06,national forest,<0.02,6.42,1.93,4.54,1.9,1.26,1.51,0.03,0.39,<1,6,716,1.7,0.14,0.2,66.8,16.2,56,<5,27.3,16,0.07,32.1,31,881,1.03,10.9,24.4,900,14.7,73.3,0.32,16.8,2.3,169,<0.1,8.8,0.5,2.4,111,0.9,29.6,100,<0.2
C-284863,06co102,40.50568,-106.21882,1-Aug-06,pasture,<0.02,6.56,0.79,2.04,3.05,0.35,1.45,0.02,0.2,<1,3,882,1.6,0.16,0.5,107,7.5,26,<5,17.4,14.2,0.04,50.7,21,637,1.02,14.7,10.2,980,31.1,145,0.24,5.8,1.7,348,<0.1,20.3,0.9,4,48,0.9,12.4,84,0.4
C-284869,06co103,40.56786,-106.06406,1-Aug-06,state land,<0.02,6.42,0.79,2.49,2.25,0.58,1.07,0.02,0.27,<1,5,778,1.9,0.21,0.2,80.5,8.9,39,6,15.3,15.2,0.05,40.4,30,767,1.07,15.6,19.2,630,23.1,127,0.44,8.6,2.3,190,<0.1,13.5,0.8,3.4,62,1.1,16.4,81,<0.2
C-284908,06co104,40.56643,-104.86971,9-Jun-06,farm,<0.02,4.03,1.19,1.42,1.93,0.49,0.71,0.21,0.12,<1,6,488,1,0.12,0.1,53,4.3,21,<5,9.3,8.96,0.02,26.6,15,234,0.6,5.6,8.5,830,13.8,69.8,0.48,3.9,1,138,<0.1,7.1,0.4,2.1,40,0.6,10.1,54,0.3
C-292181,06co105,40.56777,-104.16,9-Jun-06,agriculture,<0.02,4.68,0.82,1.03,2.46,0.23,1.15,0.01,0.12,<1,3,758,1.4,0.07,0.2,46.4,3.2,16,<5,5.4,9.73,<0.02,25.6,10,225,0.4,7,5.5,300,16.7,89.5,0.35,3.3,0.8,168,<0.1,7.4,0.5,1.6,28,0.5,12,25,<0.2
C-284729,06co106,40.55138,-103.66681,16-Mar-06,farm,<0.02,5.16,1.66,1.2,2.72,0.34,1.48,0.01,0.12,1,3,853,1.6,0.11,0.1,50.9,3.3,14,<5,6,12.3,0.02,29,13,258,0.37,7.4,6,370,19.8,102,0.34,4,0.8,208,<0.1,8.6,0.7,1.6,32,0.5,13.9,29,<0.2
C-290035,06co107,40.55318,-103.54337,15-Mar-06,idle,<0.02,5.45,0.69,0.94,2.63,0.19,1.36,<0.01,0.08,<1,2,820,1.3,0.07,<0.1,44.4,2.4,12,<5,3.7,10.6,<0.02,25,8,209,0.23,6,4.4,340,19.9,107,0.2,2.4,0.7,170,<0.1,7.3,0.7,1.4,21,0.3,9.9,21,<0.2
C-284856,06co108,40.59345,-103.29036,15-Mar-06,farm,0.02,6.09,0.89,2.01,2.38,0.7,0.85,0.04,0.2,<1,5,667,1.6,0.25,0.3,67,6.2,30,<5,15.7,13.2,0.04,35,23,419,0.78,10.4,12,800,25,94.6,0.54,6.9,1.6,186,<0.1,11,0.7,2.9,59,1,16.5,69,0.2
C-290090,06co109,40.54235,-103.14285,16-Mar-06,ranch,<0.02,4.8,0.61,0.61,2.49,0.14,1.16,0.01,0.07,<1,2,786,1.2,0.07,<0.1,43.2,1.9,15,<5,3.5,8.9,<0.02,24.6,6,153,0.33,4.6,3.4,300,19.5,98.7,0.19,2,0.6,153,<0.1,8.6,0.6,1.5,15,0.3,8.3,21,<0.2
C-292338,06co110,40.52721,-102.23254,17-Mar-06,farm,<0.02,4.43,0.54,0.55,3.21,0.13,1.39,<0.01,0.06,<1,1,833,1.4,0.06,<0.1,37.4,1.6,9,<5,4.3,10.3,<0.02,22.2,8,126,0.26,17.4,3.7,290,22.3,118,0.19,1.6,0.5,157,<0.1,6.9,0.6,1.1,15,0.4,11.3,16,<0.2
C-292364,06co111,40.35842,-108.96812,9-Sep-06,national monument,<0.02,3.72,3.52,1.61,1.75,0.82,0.33,0.05,0.16,<1,6,403,1.3,0.18,0.3,48.2,6.1,38,5,14.8,9.07,0.02,26.5,24,428,0.78,5,15.3,"1,110",15.1,72.3,0.5,5.8,0.9,111,<0.1,7.4,0.4,1.8,49,0.8,17.2,51,0.3
C-285170,06co112,40.47092,-108.25848,8-Sep-06,open range,<0.02,3.22,0.64,0.57,1.57,0.16,0.83,0.01,0.08,<1,2,731,1,0.1,0.2,36.1,2.1,11,<5,7.2,7.41,<0.02,20.3,9,228,0.3,4.1,3.6,310,16,57.7,0.22,2.2,0.5,202,<0.1,5,0.3,1.3,17,0.4,7.7,20,<0.2
C-289971,06co113,40.4952,-108.06593,8-Sep-06,wildlife area,<0.02,5.16,1.51,0.94,1.79,0.39,1.24,0.02,0.14,<1,3,905,1.2,0.2,0.2,47.4,3.1,20,<5,7.9,10.6,<0.02,26,17,264,0.41,5.3,6.7,500,18.6,72.9,0.35,3.6,0.8,391,<0.1,7.4,0.4,1.5,35,0.4,9.7,30,<0.2
C-284997,06co114,40.50036,-108.01041,28-Jul-06,BLM,<0.02,4.51,0.92,1.08,2.27,0.23,1.07,0.02,0.13,<1,3,765,1.2,0.06,0.2,52.1,3.3,13,<5,8.4,9.59,<0.02,29,12,323,0.6,5.9,6.5,410,19.2,89.8,0.31,3.1,0.9,283,<0.1,9,0.5,1.9,28,0.4,9.6,30,<0.2
C-284742,06co115,40.48624,-107.60476,28-Jul-06,idle,<0.02,4.74,3.51,2.21,1.91,0.7,0.79,0.03,0.19,<1,6,734,1.3,0.17,0.3,63.2,7.7,47,<5,15.2,11.1,0.04,32.9,21,449,0.86,7.5,17.7,640,18.7,77.9,0.65,7.1,1.1,205,<0.1,9.3,0.5,1.9,64,0.9,15.9,61,0.2
C-290103,06co116,40.49135,-107.55615,29-Jul-06,private residence,<0.02,5.55,2.48,2.15,1.88,0.86,0.79,0.03,0.18,<1,8,694,1.7,0.22,0.3,69.3,9.4,39,5,14.8,13,0.04,35.8,24,403,1.21,8.4,18.6,780,20.7,92.7,0.74,8,1.5,186,<0.1,11.6,0.6,2.6,61,0.7,17.6,61,0.3
C-289927,06co117,40.5601,-106.5818,2-Aug-06,national forest,<0.02,6.34,0.46,1.47,3.18,0.29,1.41,0.03,0.16,<1,3,"1,220",1.5,0.15,0.4,40.2,8,28,<5,13.2,13,0.03,20.7,23,563,1.09,6.6,12.9,350,20.7,142,0.25,5.4,1.2,129,<0.1,10.2,0.8,2.9,40,0.7,9.4,66,<0.2
C-289951,06co118,40.52376,-105.1152,10-Jun-06,idle,0.09,6.58,3.54,3.74,1.99,1.01,0.77,0.06,0.26,<1,12,730,1.6,0.4,2.9,53.9,10.1,70,6,78.6,15,0.05,28.9,35,511,3.52,8.2,37.6,"1,160",260,97.9,3.95,10.4,46.1,180,<0.1,10.7,0.8,3.2,125,1.1,15.4,814,0.9
C-292372,06co119,40.51548,-104.54601,9-Jun-06,idle,0.02,6.47,0.81,2.25,2.45,0.61,0.76,0.04,0.21,<1,6,682,2,0.18,0.4,59.6,7.5,36,<5,15.9,14.2,0.04,33.1,26,430,0.95,9.5,15.9,660,22.8,103,0.8,7.7,1.6,153,<0.1,11.3,0.7,3.1,68,1.1,19.4,80,0.4
C-284897,06co120,40.50111,-103.40891,15-Mar-06,idle,<0.02,4.73,0.71,0.98,2.98,0.16,1.29,0.01,0.09,<1,2,819,1.2,0.07,<0.1,49.4,2.2,75,<5,4.2,10.6,<0.02,25.5,7,198,1.78,6.5,9.6,380,22.3,103,0.22,2.3,0.8,170,<0.1,7.9,0.6,1.3,23,0.5,9.7,20,<0.2
C-284785,06co121,40.49638,-102.97894,17-Mar-06,farm,<0.02,5.35,0.77,1.23,2.81,0.31,1.29,0.02,0.14,<1,2,776,1.7,0.1,0.2,63.4,4.2,26,<5,8,13.1,0.03,32.6,13,317,0.64,7.5,12.9,510,24.4,124,0.32,4.5,1,203,<0.1,11.4,0.7,2.2,33,0.7,14.3,32,<0.2
C-292328,06co122,40.40586,-108.99791,9-Sep-06,national monument,0.03,3.17,0.6,1.3,1.66,0.38,0.39,0.05,0.13,<1,4,444,0.9,0.14,0.3,37.2,4.5,28,<5,13.3,7.37,<0.02,19,23,391,0.85,4.7,10.9,640,16.8,58.3,0.37,4.2,0.7,86.2,<0.1,5.6,0.4,1.4,37,0.5,10.8,48,0.2
C-285033,06co123,40.45364,-108.41158,8-Sep-06,national monument,<0.02,5.47,2.3,2.1,2.16,1.47,0.46,0.03,0.19,<1,7,474,1.7,0.27,0.3,54.8,6.6,52,8,16.2,12.4,0.04,29.5,37,274,1.3,8.2,23.8,890,23,98.2,0.68,7,1.6,119,<0.1,9.8,0.6,2.7,89,1,15,79,0.4
C-292233,06co124,40.48679,-108.17277,8-Sep-06,pasture,<0.02,3.38,0.51,0.55,1.76,0.14,0.83,0.01,0.07,<1,2,686,0.8,0.06,0.1,27.5,2,13,<5,5.5,6.6,<0.02,15.5,9,160,0.39,3.5,4.4,250,12.6,61.6,0.29,1.9,0.5,196,<0.1,4.2,0.4,1,17,0.3,7.4,23,<0.2
C-292261,06co125,40.47655,-107.96561,28-Jul-06,BLM,<0.02,5.72,3.78,1.69,1.96,0.33,1.68,0.02,0.18,<1,2,814,1.5,0.08,0.3,58.1,5.6,19,<5,6.8,11.9,<0.02,31.7,14,855,0.6,6.2,7.3,710,15.2,63.4,0.3,4.5,1,510,<0.1,7.6,0.3,1.3,50,0.4,13,42,0.2
C-292451,06co126,40.43021,-107.64791,28-Jul-06,idle,0.02,5.11,3.5,2.23,1.81,0.89,0.71,0.04,0.24,<1,8,613,1.6,0.16,0.3,58,8.3,46,<5,16,11.7,0.04,31.5,24,396,0.99,8.4,21.1,760,19.9,80.8,0.81,7.7,1.3,196,<0.1,10.2,0.5,2.4,74,1,17.4,74,0.4
C-284988,06co127,40.4504,-107.15096,29-Jul-06,pasture,<0.02,6.48,0.89,3.02,1.68,0.79,0.6,0.04,0.24,<1,9,633,1.9,0.3,0.3,64.5,10.5,50,9,23.1,15.9,0.06,35,38,457,1.18,10.5,23.2,600,25,93.9,0.85,9.1,2.7,149,<0.1,12.6,0.7,2.6,97,1.1,17.9,87,0.4
C-289987,06co128,40.48686,-106.42607,1-Aug-06,open range,<0.02,7.2,0.61,2.04,2.85,0.42,1.2,0.05,0.2,<1,3,656,1.9,0.21,0.4,103,6.5,27,<5,20.2,16.4,0.04,49.8,27,522,1.66,12.1,11.4,"1,160",30.6,183,0.27,6.9,2.1,145,<0.1,24.1,1.1,5.1,53,0.8,12.1,87,0.2
C-284970,06co129,40.44559,-106.14008,1-Aug-06,national forest,0.03,5.52,0.57,2.49,2.32,0.4,1.17,<0.01,0.16,<1,6,585,1.4,0.17,0.2,110,11.1,33,6,14.2,13.2,0.05,50.1,31,380,0.5,10.2,15.3,560,23.8,109,0.84,7.4,1.7,202,<0.1,22,0.8,3.1,59,0.8,14.9,79,<0.2
C-289945,06co130,40.46523,-105.06,12-Jun-06,wetlands,<0.02,5.93,2.79,2.1,2.03,0.82,1.03,0.06,0.23,<1,5,592,1.5,0.19,0.3,56.8,6.7,44,<5,15,13,0.04,29.9,29,357,0.94,7.9,18.2,900,21.8,84.7,0.61,7.8,1.5,243,<0.1,9.8,0.5,2.4,78,1.5,13.8,72,0.9
C-292457,06co131,40.45138,-103.80366,15-Mar-06,range,<0.02,5.27,0.95,1.19,2.52,0.29,1.45,0.03,0.14,<1,3,780,1.8,0.1,0.3,45.6,3.1,15,<5,6.1,11.5,0.03,27.1,11,286,0.54,8.2,5.6,420,21.5,92.3,0.32,3.7,0.9,182,<0.1,13.9,0.5,1.8,32,0.7,14.7,50,<0.2
C-290157,06co132,40.43827,-102.66479,17-Mar-06,farm,<0.02,5.82,0.86,1.22,3.46,0.31,1.65,0.02,0.17,<1,3,904,1.6,0.09,0.2,53.7,3.4,24,<5,8.6,11.5,0.02,29.2,14,282,0.49,8,8.1,420,21.7,110,0.29,3.8,0.9,220,<0.1,10.2,0.7,1.8,36,0.6,12.9,31,<0.2
C-290116,06co133,40.41101,-102.0896,18-Mar-06,pasture,<0.02,4.53,0.85,0.66,2.96,0.15,1.4,0.01,0.13,<1,1,790,1.4,0.06,<0.1,35.9,1.6,8,<5,3.8,9.47,<0.02,21.4,8,179,0.19,8.8,3.7,230,19.3,97.9,0.16,2.2,0.6,176,<0.1,5.3,0.6,1.1,20,0.3,9,15,<0.2
C-284830,06co134,40.37426,-108.90517,9-Sep-06,national monument,<0.02,4.01,3.7,1.94,1.65,0.66,0.48,0.03,0.17,<1,5,499,1.1,0.18,0.3,56.3,5.2,29,<5,11.9,8.58,0.03,30.2,22,397,0.89,6,11.3,580,18.8,61.6,0.52,5.4,1.1,155,<0.1,8.1,0.4,1.7,46,0.7,12,42,<0.2
C-284896,06co135,40.35964,-107.3051,29-Jul-06,BLM,<0.02,3.65,1.91,0.78,1.58,0.51,0.54,0.01,0.14,<1,4,503,0.6,0.06,<0.1,50.2,3,16,<5,5.7,7.53,<0.02,25.5,11,202,0.23,5.1,6.7,440,11.7,60.7,0.5,2.9,0.8,97.4,<0.1,7.8,0.3,1.5,35,0.5,8.1,21,<0.2
C-289998,06co136,40.4366,-106.50412,1-Aug-06,idle,0.03,6.3,12.7,2.46,1.88,0.5,0.72,0.03,0.24,<1,9,744,1.8,0.29,1.5,55.8,10.9,75,6,32,13.4,0.04,30.7,45,287,6.85,8.9,46,720,18.2,91.6,1.71,10.6,1.4,687,<0.1,10.1,1.3,5.1,248,1,14.1,134,2.2
C-285092,06co137,40.4241,-105.80855,12-Jun-06,national park,<0.02,6.29,0.78,3.02,2.35,0.6,0.99,0.03,0.25,<1,6,756,2,0.25,0.5,96.4,10,44,6,22.3,16,0.05,45.1,26,530,1.19,13.7,18.3,950,26.5,128,0.52,9.5,1.9,214,<0.1,17.8,0.6,3.5,75,1,18.9,94,0.3
C-284993,06co138,40.40716,-105.62617,12-Jun-06,national park,0.02,5.8,0.64,1.91,2.85,0.29,1.41,0.02,0.14,<1,3,584,1.8,0.13,0.3,77.7,5.1,33,5,10.4,14,0.04,38.7,19,472,0.99,10.2,11.4,630,35.7,155,0.22,5.3,1.9,119,<0.1,19.1,0.8,3.3,38,0.7,9,67,<0.2
C-289989,06co139,40.42918,-105.31299,12-Jun-06,forest,<0.02,7.38,1.02,1.28,1.78,0.23,3.77,0.01,0.11,<1,2,693,2.7,0.43,<0.1,29,3.3,17,8,7.1,17.4,<0.02,13.3,50,212,0.42,4.2,6.3,250,22.4,49.5,0.22,3,0.9,711,<0.1,6.2,0.6,2.4,26,1.1,4,39,<0.2
C-285200,06co140,40.42228,-104.83256,10-Jun-06,agriculture,<0.02,4.22,2.44,1.77,1.97,0.61,0.65,0.04,0.16,<1,8,553,1.5,0.1,0.2,60.3,5.6,27,<5,11.7,10.2,0.03,31.6,19,319,0.6,7.3,12.8,800,17,76.7,0.46,5.9,1.2,159,<0.1,10.3,0.4,2.5,48,0.7,14.2,48,0.2
C-292213,06co141,40.40834,-104.22369,10-Jun-06,oil field,<0.02,4.77,0.55,1.46,2.47,0.35,0.83,0.02,0.16,<1,5,727,1.3,0.1,0.1,48.7,4.2,24,<5,7.3,9.61,<0.02,27.2,16,244,0.46,7.3,9.6,350,15.2,84.4,0.49,4.4,0.9,150,<0.1,10.2,0.5,1.5,44,0.6,12.9,39,<0.2
C-292420,06co142,40.40665,-104.10827,10-Jun-06,idle,<0.02,4.53,0.47,1.41,2.23,0.28,0.89,0.02,0.15,<1,4,681,1.6,0.11,0.1,50.5,3.8,18,<5,5.9,10.2,0.02,28.2,13,257,0.48,6.6,7.5,340,16.4,89.7,0.41,4.3,0.9,127,<0.1,9.1,0.5,1.6,41,0.6,13.3,34,<0.2
C-290038,06co143,40.43546,-103.7316,15-Mar-06,rangeland,<0.02,5.57,0.75,0.68,2.45,0.15,1.57,0.01,0.06,<1,2,842,1.8,0.06,<0.1,35.1,1.8,12,<5,3.1,11.2,<0.02,21,6,156,0.22,5,3.5,320,17.1,95.2,0.16,2.1,0.5,178,<0.1,5.2,0.6,1.1,15,0.3,8.1,19,<0.2
C-289958,06co144,40.39484,-102.78011,17-Mar-06,farm,<0.02,5.69,1.04,1.22,2.49,0.33,1.41,0.02,0.18,<1,2,785,1.5,0.1,0.2,60.4,3.8,18,<5,7.7,11.7,0.02,33.2,12,300,0.49,8.3,7,400,20,98.5,0.34,4.4,0.9,210,<0.1,10.3,0.6,2.1,37,0.5,13.3,34,<0.2
